,immune,erythroid,skeletal,vasculature
H410_epi_diff_adip,-9.452235713850106,-11.89128203076747,-7.930360677811718,-14.661183791719168
H410_epi_primary_adip,9.264735382411983,-0.20537722174833986,-1.0915563363426513,-2.682235978154408
H410_meta_diff_adip,-8.53559741393533,-4.188064871390845,7.358632524094667,-3.634256095167736
H410_meta_primary_adip,20.52882450320058,23.29813743072328,-11.09239141450851,-0.004896670509499882
H410_scat_diff_adip,-8.211052333640197,-2.638378142111878,4.607725103425158,-3.359557684191164
H410_scat_primary_adip,-5.6780364486515635,-7.415896216996363,-3.4293255132301677,6.0554185681831605
H411_epi_diff_adip,-8.173460322061688,1.973464697293415,5.395640065634819,-4.17981757916694
H411_epi_primary_adip,16.54789128739221,8.331746524401014,7.282207098692988,11.949882587860763
H411_meta_diff_adip,-8.321258043035568,-3.701111577613539,3.74676865045784,-3.6554110314916946
H411_meta_primary_adip,20.37247895857168,28.14446338384657,-16.891515151713183,-11.290958883496616
H411_scat_diff_adip,-7.7415426778617835,-0.28512562241022416,0.6160159277280566,-3.8643949373664666
H411_scat_primary_adip,-2.5575932578736347,-8.393071892531763,-1.1147696111821146,6.096187408093097
H426_epi_diff_adip,-7.8647091912755185,-1.3021630969648053,1.5142599950933566,-4.198277253575306
H426_epi_primary_adip,1.7039248701877836,-10.511692313613455,1.7071099080623762,7.235452239715157
H426_meta_diff_adip,-7.879573748609957,2.580755341082613,5.641108451142645,-3.413251401341076
H426_meta_primary_adip,11.430435762754508,-6.166908504283953,2.7317326544643223,12.435343138361963
H426_scat_diff_adip,-9.397032371907319,-2.297692138376119,5.535437445833563,-3.3244145313772737
H426_scat_primary_adip,-4.925687216395305,-9.142220114002932,-3.5526437995037474,4.609219087491568
H427_epi_diff_adip,-9.074146323126785,-3.9997782728562155,8.022118355056907,-4.299277413309138
H427_epi_primary_adip,15.473935795703186,8.77173860780796,-2.1175000108493385,7.5709445345151645
H427_meta_diff_adip,-10.01896009206316,-6.800907872296505,5.233895422703217,3.1744439131844255
H427_meta_primary_adip,25.571200272422303,22.822037762739107,-10.074166818870106,-2.407822781119457
H427_scat_diff_adip,-9.355903266918585,-5.564184849242303,3.910190774839005,-2.868262072166123
H427_scat_primary_adip,-3.7066384114377326,-11.418489010687239,-6.008613043217385,8.71712662674676
