"cluster","haematopoietic","T_cell","B_cell","plasma_cell","osteoblast","osteocyte","MSC_stroma","adipocyte","endothelial","erythroid","chondrocyte","mural_muscle"
"0",0.49212007447521,0.332377557455504,0.184339485162287,0.474841465630557,0.234699036790613,-0.0964536847512837,0.0287465498747375,-0.157207995572196,0.158567700022025,0.0970665636229072,0.242155809702893,-0.0812119527012653
"1",-0.301206230978876,1.82254933271425,-0.201762363808261,-0.470504847230084,-0.0616986315518643,0.0210207661194537,-0.366579647020359,-0.394646580225529,-0.40670217367408,-0.538390026812439,-0.287836281470291,-0.100661889987
"10",-0.512413295394793,-0.597728844917914,-0.515021502970726,-0.429340614444469,0.391171503544963,1.63651217283676,0.145676856152769,-0.367115330477692,-0.296989950635754,2.05555170413402,-0.154901216079406,-0.384884502849361
"11",-0.38254376742164,-0.507643669102001,-0.205448022653383,0.467121614696867,3.47509265313621,2.85308646967143,2.06589593687989,2.64392017457079,-0.421727687844654,-0.692407411065309,4.26163967088008,1.48431702004795
"12",-0.183738779146671,-0.231417326045645,2.1345657338148,0.551692560052703,-0.139841903506738,-0.407978917530494,-0.0795130663432841,-0.506902823561936,-0.33113699079987,0.00121052016551724,-0.3435239128139,-0.264582348410776
"13",-1.05288208546569,-1.0528502464954,-0.859526091364364,-1.00006117633177,-0.748622801282322,-0.321784915166634,-0.274479189353326,-0.57188926859406,-0.840980667383808,2.62163403067106,-0.530466616662667,-0.174875761175876
"14",-0.28008885181136,-0.658416366658633,1.18860852528645,0.012607118497996,-0.136030575473627,-0.381738219620562,-0.259879424008386,-0.395217634693648,0.150593481460822,-0.452153958104348,-0.484761118999764,-0.397885519429568
"15",-1.11407013094406,-0.814402887646358,-1.00456644831502,0.16082400437625,-0.82156215162383,-0.30587814912541,-0.330425783654201,-0.615892952347216,-0.814150138502311,2.72126506325173,-0.375871442804087,-0.726577362325759
"16",-0.36647604584235,-0.451521301965239,-0.734410786819018,-0.632002126791731,-0.230517143830822,-0.271011176547456,1.5421404652508,1.23978777916212,4.05000542524971,-0.278206058746412,-0.239566704416003,0.285189948290981
"17",-0.52165382411558,1.6680349193976,-0.236958185654157,-0.290676860639936,-0.403017037594346,-0.31914216856088,-0.325694357602122,-0.473917784776639,-0.357939418690729,-0.377311814647198,-0.392794878918344,-0.0555388638743106
"18",1.40529880240092,-0.169713475629632,-0.474021105864782,-0.799596756811516,-0.345430260363662,0.168369407378962,-0.266826794700794,-0.193343742033132,-0.240561602285102,-0.798777284396316,-0.375700637644216,-0.410973690679054
