library,term,overlap,pval,zscore,combined_score,adj_pval,genes
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),33,8.67453340457723e-16,7.325790892325153,254.06553379476526,1.5465704373564438e-12,ECM2;COL13A1;COL11A1;DMP1;ADAMTS15;ADAMTS14;IBSP;ADAMTS17;MMP28;COL28A1;POSTN;COL22A1;NPNT;COL1A1;SMOC2;COL3A1;CCDC80;COL1A2;MMP13;COL4A2;COL5A1;MMP16;COL4A1;MMP15;COL5A3;COL5A2;PXDN;ST7;COL8A2;COL4A5;COL8A1;COL9A2;MATN2
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),33,1.1722255695506943e-15,7.230265691182133,248.5756108454789,1.5465704373564438e-12,ECM2;COL13A1;COL11A1;DMP1;ADAMTS15;ADAMTS14;IBSP;ADAMTS17;MMP28;COL28A1;POSTN;COL22A1;NPNT;COL1A1;SMOC2;COL3A1;CCDC80;COL1A2;MMP13;COL4A2;COL5A1;MMP16;COL4A1;MMP15;COL5A3;COL5A2;PXDN;ST7;COL8A2;COL4A5;COL8A1;COL9A2;MATN2
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),42,1.394563063441338e-15,5.314730694354315,181.79671580499183,1.5465704373564438e-12,ECM2;COL13A1;ELN;COL11A1;KLK4;DMP1;LAMC1;ADAMTS15;ADAMTS14;IBSP;CREB3L1;CTSK;ADAMTS17;MMP28;CYP1B1;HAS2;COL28A1;POSTN;LUM;COL22A1;NPNT;COL1A1;SMOC2;COL3A1;CCDC80;COL1A2;MMP13;COL4A2;COL5A1;MMP16;COL4A1;MMP15;COL5A3;COL5A2;PXDN;ST7;COL8A2;COL4A5;COL8A1;COL9A2;GAS6;MATN2
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),53,3.3638568574234743e-09,2.6887487604845206,52.457965965317065,2.797887941161975e-06,ACHE;SERPINE1;HILPDA;PIK3CD;FGF2;TNF;SCAMP5;GJA1;ACADL;MDK;CD36;FOXD1;IL4R;ACSL1;NOG;DIO2;TET1;PRKCA;CNKSR2;IL1A;IL1B;TRIM16;GAS6;PLCB1;FOXC1;TNXB;NPR1;ADRB1;TNFRSF11A;ADIPOR2;RTN4;PDPN;S100A13;SPP1;APOE;PPARGC1A;WWTR1;NIBAN2;CADM1;G0S2;SORL1;COL1A1;FABP4;BAMBI;SCD;AGO2;MFAP2;LCN2;TMEM119;ALPL;NOX5;FERMT2;NODAL
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),51,9.03341419265887e-07,2.2461962158875495,31.26068394416049,0.0006010833803795213,ITGB1;SERPINE1;TNC;PIK3CD;FGF2;ACTG1;FGF7;MDK;PLAU;TMSB4X;DPYSL3;CYP1B1;EMILIN1;TMSB10;PDGFRA;IGFBP5;LIMCH1;TPM1;NOG;TET1;PRKCA;SRCIN1;SFRP1;CEACAM6;IL1B;KIT;CDH11;ROR2;KANK1;LRRC15;CSF1R;TNXB;SEMA3C;SEMA3D;SEMA3B;EGFR;PDGFD;PDPN;CCL3;HAS2;INSR;SORL1;COL1A1;TJP1;FER;MYO1C;DLG5;CNTN1;SNAI2;AMOTL1;FERMT2
GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),8,1.7319615656874665e-06,14.719781292716267,195.27638599206747,0.0009603726881737001,MFAP4;TNXB;ELN;PXDN;HAS2;EMILIN1;GAS6;FBLN5
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),37,2.615808411377777e-06,2.513330388466832,32.30619138912487,0.0012432563692362662,ALK;FOXC2;CSF1R;FOXC1;ARHGEF28;PLAT;CD3E;EFNA5;FGF2;EGFR;PTPRG;FGF7;GRB14;PDGFD;CHN1;PDK4;EPHB1;PDGFRA;NTRK2;EPHA7;SORT1;INSR;RARRES2;IGF2;SORBS1;PGF;FER;NR4A3;COL4A2;DOK6;DDIT4;KIT;ROR2;PLCB1;EPHA3;GPLD1;RHOQ
GO_Biological_Process_2023,Regulation Of Filopodium Assembly (GO:0051489),12,3.4607302562159924e-06,6.425328554360813,80.79228000656443,0.0014392311953038259,PPP1R16B;GPM6A;TENM1;DOCK11;NLGN1;TENM2;MYO10;DPYSL3;PRKCD;FSCN1;CLU;RHOQ
GO_Biological_Process_2023,Skeletal System Development (GO:0001501),24,4.098643229460871e-06,3.20496256684492,39.75709450767268,0.0015151317804907019,PKDCC;COL13A1;DLX5;DLX6;SHOX2;NOG;RFLNB;EN1;MEPE;PTH1R;HOXA13;ETS2;BMP5;RFLNA;COL1A1;GJA1;COL1A2;MMP16;CDH11;SHOX;ALX4;ALPL;BPNT2;COL9A2
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),36,6.154836632595805e-06,2.4431994747784223,29.31417268155153,0.0020477141476646244,YAP1;FBN2;FOXC1;DLX2;TNXB;PKDCC;TACSTD2;LRP5;LAMC1;MEDAG;SCUBE3;GJA1;MDK;PDPN;CD36;APOB;TP63;BEND6;WWTR1;MMD;LAMB2;LMO3;RARRES2;NPNT;GDF5;RUNX2;COL1A1;HEYL;SFRP1;KITLG;BAMBI;IL1B;TMEM119;SP7;PLCB1;FERMT2
