ensg_b,symbol,name
ENSG00000166800,LDHAL6A,lactate dehydrogenase A like 6A
ENSG00000166801,FAM111A,FAM111 trypsin like peptidase A
ENSG00000166803,PCLAF,PCNA clamp associated factor
ENSG00000166813,KIF7,kinesin family member 7
ENSG00000166816,LDHD,lactate dehydrogenase D
ENSG00000166819,PLIN1,perilipin 1
ENSG00000166821,PEX11A,peroxisomal biogenesis factor 11 alpha
ENSG00000166822,TMEM170A,transmembrane protein 170A
ENSG00000166823,MESP1,mesoderm posterior bHLH transcription factor 1
ENSG00000166825,ANPEP,"alanyl aminopeptidase, membrane"
ENSG00000166831,RBPMS2,"RNA binding protein, mRNA processing factor 2"
ENSG00000166833,NAV2,neuron navigator 2
ENSG00000166839,ANKDD1A,ankyrin repeat and death domain containing 1A
ENSG00000166845,C18orf54,chromosome 18 open reading frame 54
ENSG00000166847,DCTN5,dynactin subunit 5
ENSG00000166848,TERF2IP,TERF2 interacting protein
ENSG00000166851,PLK1,polo like kinase 1
ENSG00000166855,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit X
ENSG00000166856,ACKR5,atypical chemokine receptor 5
ENSG00000166860,ZBTB39,zinc finger and BTB domain containing 39
ENSG00000166881,NEMP1,nuclear envelope integral membrane protein 1
ENSG00000166886,NAB2,NGFI-A binding protein 2
ENSG00000166887,VPS39,VPS39 subunit of HOPS complex
ENSG00000166888,STAT6,signal transducer and activator of transcription 6
ENSG00000166889,PATL1,"PAT1 homolog 1, processing body mRNA decay factor"
ENSG00000166896,ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog
ENSG00000166900,STX3,syntaxin 3
ENSG00000166902,MRPL16,mitochondrial ribosomal protein L16
ENSG00000166908,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma
ENSG00000166912,MTMR10,myotubularin related protein 10
ENSG00000166913,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
ENSG00000166920,COXFA4L3,cytochrome c oxidase associated subunit FA4L3
ENSG00000166922,SCG5,secretogranin V
ENSG00000166923,GREM1,"gremlin 1, DAN family BMP antagonist"
ENSG00000166924,NYAP1,neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1
ENSG00000166925,TSC22D4,TSC22 domain family member 4
ENSG00000166927,MS4A7,membrane spanning 4-domains A7
ENSG00000166928,MS4A14,membrane spanning 4-domains A14
ENSG00000166938,DIS3L,DIS3 like exosome 3'-5' exoribonuclease
ENSG00000166946,CCNDBP1,cyclin D1 binding protein 1
ENSG00000166947,EPB42,erythrocyte membrane protein band 4.2
ENSG00000166949,SMAD3,SMAD family member 3
ENSG00000166963,MAP1A,microtubule associated protein 1A
ENSG00000166965,RCCD1,RCC1 domain containing 1
ENSG00000166971,AKTIP,AKT interacting protein
ENSG00000166974,MAPRE2,microtubule associated protein RP/EB family member 2
ENSG00000166979,EVA1C,eva-1 homolog C
ENSG00000166986,MARS1,methionyl-tRNA synthetase 1
ENSG00000166987,MBD6,methyl-CpG binding domain protein 6
ENSG00000166997,CNPY4,canopy FGF signaling regulator 4
ENSG00000167004,PDIA3,protein disulfide isomerase family A member 3
ENSG00000167005,NUDT21,nudix hydrolase 21
ENSG00000167034,NKX3-1,NK3 homeobox 1
ENSG00000167065,DUSP18,dual specificity phosphatase 18
ENSG00000167074,TEF,"TEF transcription factor, PAR bZIP family member"
ENSG00000167081,PBX3,PBX homeobox 3
ENSG00000167083,GNGT2,G protein subunit gamma transducin 2
ENSG00000167085,PHB1,prohibitin 1
ENSG00000167088,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide
ENSG00000167100,SAMD14,sterile alpha motif domain containing 14
ENSG00000167103,PIP5KL1,phosphatidylinositol-4-phosphate 5-kinase like 1
ENSG00000167105,TMEM92,transmembrane protein 92
ENSG00000167106,EEIG1,estrogen-induced osteoclastogenesis regulator 1
ENSG00000167107,ACSF2,acyl-CoA synthetase family member 2
ENSG00000167110,GOLGA2,golgin A2
ENSG00000167112,TRUB2,TruB pseudouridine synthase family member 2
ENSG00000167113,COQ4,coenzyme Q4
ENSG00000167114,SLC27A4,solute carrier family 27 member 4
ENSG00000167118,URM1,ubiquitin related modifier 1
ENSG00000167123,CERCAM,cerebral endothelial cell adhesion molecule
ENSG00000167130,DOLPP1,dolichyldiphosphatase 1
ENSG00000167136,ENDOG,endonuclease G
ENSG00000167157,PRRX2,paired related homeobox 2
ENSG00000167173,PRMT2IP,PRMT2 interacting protein
ENSG00000167178,ISLR2,immunoglobulin superfamily containing leucine rich repeat 2
ENSG00000167182,SP2,Sp2 transcription factor
ENSG00000167186,COQ7,"coenzyme Q7, hydroxylase"
ENSG00000167191,GPRC5B,G protein-coupled receptor class C group 5 member B
ENSG00000167193,CRK,"CRK proto-oncogene, adaptor protein"
ENSG00000167196,FBXO22,F-box protein 22
ENSG00000167202,TBC1D2B,TBC1 domain family member 2B
ENSG00000167207,NOD2,nucleotide binding oligomerization domain containing 2
ENSG00000167208,SNX20,sorting nexin 20
ENSG00000167210,LOXHD1,lipoxygenase homology PLAT domains 1
ENSG00000167216,KATNAL2,katanin catalytic subunit A1 like 2
ENSG00000167220,HDHD2,haloacid dehalogenase like hydrolase domain containing 2
ENSG00000167232,ZNF91,zinc finger protein 91
ENSG00000167244,IGF2,insulin like growth factor 2
ENSG00000167257,RNF214,ring finger protein 214
ENSG00000167258,CDK12,cyclin dependent kinase 12
ENSG00000167261,DPEP2,dipeptidase 2
ENSG00000167264,DUS2,dihydrouridine synthase 2
ENSG00000167272,POP5,POP5 ribonuclease P/MRP subunit
ENSG00000167280,ENGASE,endo-beta-N-acetylglucosaminidase
ENSG00000167281,RBFOX3,RNA binding fox-1 homolog 3
ENSG00000167283,ATP5MG,ATP synthase membrane subunit g
ENSG00000167291,TBC1D16,TBC1 domain family member 16
ENSG00000167302,TEPSIN,TEPSIN adaptor related protein complex 4 accessory protein
ENSG00000167306,MYO5B,myosin VB
ENSG00000167315,ACAA2,acetyl-CoA acyltransferase 2
ENSG00000167323,STIM1,stromal interaction molecule 1
ENSG00000167325,RRM1,ribonucleotide reductase catalytic subunit M1
ENSG00000167333,TRIM68,tripartite motif containing 68
ENSG00000167363,FN3K,fructosamine 3 kinase
ENSG00000167371,PRRT2,proline rich transmembrane protein 2
ENSG00000167377,ZNF23,zinc finger protein 23
ENSG00000167378,IRGQ,immunity related GTPase Q
ENSG00000167380,ZNF226,zinc finger protein 226
ENSG00000167384,ZNF180,zinc finger protein 180
ENSG00000167393,PPP2R3B,protein phosphatase 2 regulatory subunit B''beta
ENSG00000167394,ZNF668,zinc finger protein 668
ENSG00000167395,ZNF646,zinc finger protein 646
ENSG00000167397,VKORC1,vitamin K epoxide reductase complex subunit 1
ENSG00000167434,CA4,carbonic anhydrase 4
ENSG00000167447,SMG8,SMG8 nonsense mediated mRNA decay factor
ENSG00000167460,TPM4,tropomyosin 4
ENSG00000167461,RAB8A,"RAB8A, member RAS oncogene family"
ENSG00000167468,GPX4,glutathione peroxidase 4
ENSG00000167470,MIDN,midnolin
ENSG00000167476,JSRP1,junctional sarcoplasmic reticulum protein 1
ENSG00000167483,NIBAN3,niban apoptosis regulator 3
ENSG00000167487,KLHL26,kelch like family member 26
ENSG00000167491,GATAD2A,GATA zinc finger domain containing 2A
ENSG00000167508,MVD,mevalonate diphosphate decarboxylase
ENSG00000167513,CDT1,chromatin licensing and DNA replication factor 1
ENSG00000167515,TRAPPC2L,trafficking protein particle complex subunit 2L
ENSG00000167522,ANKRD11,ankyrin repeat domain 11
ENSG00000167523,SPATA33,spermatogenesis associated 33
ENSG00000167524,RSKR,ribosomal protein S6 kinase related
ENSG00000167525,PROCA1,protein interacting with cyclin A1
ENSG00000167526,RPL13,ribosomal protein L13
ENSG00000167528,ZNF641,zinc finger protein 641
ENSG00000167535,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3
ENSG00000167536,DHRS13,dehydrogenase/reductase 13
ENSG00000167543,TP53I13,tumor protein p53 inducible protein 13
ENSG00000167548,KMT2D,lysine methyltransferase 2D
ENSG00000167549,CORO6,coronin 6
ENSG00000167552,TUBA1A,tubulin alpha 1a
ENSG00000167553,TUBA1C,tubulin alpha 1c
ENSG00000167554,ZNF610,zinc finger protein 610
ENSG00000167555,ZNF528,zinc finger protein 528
ENSG00000167562,ZNF701,zinc finger protein 701
ENSG00000167565,SERTAD3,SERTA domain containing 3
ENSG00000167566,NCKAP5L,NCK associated protein 5 like
ENSG00000167578,RAB4B,"RAB4B, member RAS oncogene family"
ENSG00000167588,GPD1,glycerol-3-phosphate dehydrogenase 1
ENSG00000167595,PROSER3,proline and serine rich 3
ENSG00000167600,CYP2S1,cytochrome P450 family 2 subfamily S member 1
ENSG00000167601,AXL,AXL receptor tyrosine kinase
ENSG00000167604,NFKBID,NFKB inhibitor delta
ENSG00000167608,TMC4,transmembrane channel like 4
ENSG00000167613,LAIR1,leukocyte associated immunoglobulin like receptor 1
ENSG00000167614,TTYH1,tweety family member 1
ENSG00000167615,LENG8,leukocyte receptor cluster member 8
ENSG00000167617,CDC42EP5,CDC42 effector protein 5
ENSG00000167625,ZNF526,zinc finger protein 526
ENSG00000167632,TRAPPC9,trafficking protein particle complex subunit 9
ENSG00000167635,ZNF146,zinc finger protein 146
ENSG00000167637,ZNF283,zinc finger protein 283
ENSG00000167641,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
ENSG00000167642,SPINT2,"serine peptidase inhibitor, Kunitz type 2"
ENSG00000167645,YIF1B,"Yip1 interacting factor homolog B, membrane trafficking protein"
ENSG00000167654,ATCAY,ATCAY kinesin light chain interacting caytaxin
ENSG00000167657,DAPK3,death associated protein kinase 3
ENSG00000167658,EEF2,eukaryotic translation elongation factor 2
ENSG00000167670,CHAF1A,chromatin assembly factor 1 subunit A
ENSG00000167671,UBXN6,UBX domain protein 6
ENSG00000167674,HDGFL2,HDGF like 2
ENSG00000167676,PLIN4,perilipin 4
ENSG00000167680,SEMA6B,semaphorin 6B
ENSG00000167685,ZNF444,zinc finger protein 444
ENSG00000167693,NXN,nucleoredoxin
ENSG00000167695,TLCD3A,TLC domain containing 3A
ENSG00000167699,GLOD4,glyoxalase domain containing 4
ENSG00000167700,SLC33A2,solute carrier family 33 member 2
ENSG00000167701,GPT,glutamic--pyruvic transaminase
ENSG00000167702,KIFC2,kinesin family member C2
ENSG00000167703,SLC43A2,solute carrier family 43 member 2
ENSG00000167705,RILP,Rab interacting lysosomal protein
ENSG00000167711,SERPINF2,serpin family F member 2
ENSG00000167716,WDR81,WD repeat domain 81
ENSG00000167720,SRR,serine racemase
ENSG00000167721,TSR1,TSR1 ribosome maturation factor
ENSG00000167723,TRPV3,transient receptor potential cation channel subfamily V member 3
ENSG00000167733,HSD11B1L,hydroxysteroid 11-beta dehydrogenase 1 like
ENSG00000167740,CYB5D2,cytochrome b5 domain containing 2
ENSG00000167747,C19orf48P,"chromosome 19 open reading frame 48, pseudogene"
ENSG00000167749,KLK4,kallikrein related peptidase 4
ENSG00000167766,ZNF83,zinc finger protein 83
ENSG00000167768,KRT1,keratin 1
ENSG00000167770,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1"
ENSG00000167771,RCOR2,REST corepressor 2
ENSG00000167772,ANGPTL4,angiopoietin like 4
ENSG00000167775,CD320,CD320 molecule
ENSG00000167778,SPRYD3,SPRY domain containing 3
ENSG00000167779,IGFBP6,insulin like growth factor binding protein 6
ENSG00000167785,ZNF558,zinc finger protein 558
ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1
ENSG00000167797,CDK2AP2,cyclin dependent kinase 2 associated protein 2
ENSG00000167799,NUDT8,nudix hydrolase 8
ENSG00000167815,PRDX2,peroxiredoxin 2
ENSG00000167840,ZNF232,zinc finger protein 232
ENSG00000167842,MIS12,MIS12 kinetochore complex component
ENSG00000167850,CD300C,CD300c molecule
ENSG00000167851,CD300A,CD300a molecule
ENSG00000167861,HID1,HID1 domain containing
ENSG00000167862,MRPL58,mitochondrial ribosomal protein L58
ENSG00000167863,ATP5PD,ATP synthase peripheral stalk subunit d
ENSG00000167874,TMEM88,transmembrane protein 88
ENSG00000167880,EVPL,envoplakin
ENSG00000167881,SRP68,signal recognition particle 68
ENSG00000167889,MGAT5B,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B"
ENSG00000167895,TMC8,transmembrane channel like 8
ENSG00000167900,TK1,thymidine kinase 1
ENSG00000167904,TMEM68,transmembrane protein 68
ENSG00000167920,KRT10-AS1,KRT10 antisense RNA 1
ENSG00000167925,GHDC,GH3 domain containing
ENSG00000167930,FAM234A,family with sequence similarity 234 member A
ENSG00000167962,ZNF598,"zinc finger protein 598, E3 ubiquitin ligase"
ENSG00000167964,RAB26,"RAB26, member RAS oncogene family"
ENSG00000167965,MLST8,MTOR associated protein MLST8
ENSG00000167967,E4F1,E4F transcription factor 1
ENSG00000167969,ECI1,enoyl-CoA delta isomerase 1
ENSG00000167971,CASKIN1,CASK interacting protein 1
ENSG00000167972,ABCA3,ATP binding cassette subfamily A member 3
ENSG00000167977,KCTD5,potassium channel tetramerization domain containing 5
ENSG00000167978,SRRM2,serine/arginine repetitive matrix 2
ENSG00000167981,ZNF597,zinc finger protein 597
ENSG00000167984,NLRC3,NLR family CARD domain containing 3
ENSG00000167985,SDHAF2,succinate dehydrogenase complex assembly factor 2
ENSG00000167986,DDB1,damage specific DNA binding protein 1
ENSG00000167987,VPS37C,VPS37C subunit of ESCRT-I
ENSG00000167992,VWCE,von Willebrand factor C and EGF domains
ENSG00000167994,RAB3IL1,RAB3A interacting protein like 1
ENSG00000167995,BEST1,bestrophin 1
ENSG00000167996,FTH1,ferritin heavy chain 1
ENSG00000168000,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin"
ENSG00000168002,POLR2G,RNA polymerase II subunit G
ENSG00000168003,SLC3A2,solute carrier family 3 member 2
ENSG00000168004,PLAAT5,phospholipase A and acyltransferase 5
ENSG00000168005,SPINDOC,spindlin interactor and repressor of chromatin binding
ENSG00000168010,ATG16L2,autophagy related 16 like 2
ENSG00000168014,C2CD3,C2 domain containing 3 centriole elongation regulator
ENSG00000168016,TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1
ENSG00000168026,TTC21A,tetratricopeptide repeat domain 21A
ENSG00000168028,RPSA,ribosomal protein SA
ENSG00000168032,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
ENSG00000168036,CTNNB1,catenin beta 1
ENSG00000168038,ULK4,unc-51 like kinase 4
ENSG00000168040,FADD,Fas associated via death domain
ENSG00000168056,LTBP3,latent transforming growth factor beta binding protein 3
ENSG00000168060,NAALADL1,N-acetylated alpha-linked acidic dipeptidase like 1
ENSG00000168061,SAC3D1,SAC3 domain containing 1
ENSG00000168062,BATF2,basic leucine zipper ATF-like transcription factor 2
ENSG00000168066,SF1,splicing factor 1
