ensg,immune,erythroid,skeletal,vasculature
AL627309.1,0.09943305608421354,-0.17296887930600713,-0.02134682882849004,0.09488265205028362
AL669831.5,0.370775267770322,-1.4790567604438285,0.0051218139985076405,1.103159678674999
FAM87B,-0.8719166493278618,-1.0005895272388503,0.738543840840893,1.133962335725819
LINC00115,0.10677117048426288,-0.3583038878398954,0.1535892214244794,0.09794349593115337
FAM41C,0.4617382502692142,-0.5203804860479005,-0.5995886211033185,0.6582308568820049
AL645608.3,-0.3989087099579662,-0.7297103901349206,1.5222662305484882,-0.39364713045560157
AL645608.5,-0.05687348707079778,-0.0960100004094639,0.2488934878897256,-0.0960100004094639
AL645608.1,-0.8191183061748136,-0.8582548195134798,1.7821318377897655,-0.10475871210147181
SAMD11,-1.878149470857773,-2.5665638325021103,3.85477898355555,0.5899343198043334
NOC2L,0.25305259070148445,-0.824065496879784,0.664352645552226,-0.09333973937392681
KLHL17,0.07918336311915386,-0.8655909747589007,0.906492553739489,-0.12008494209974208
PLEKHN1,0.669470838891073,-0.8682402792544341,1.1443552797051877,-0.9455858393418263
AL645608.8,-1.515195022734642,-1.9885863200602099,0.608445562570261,2.895335780224591
HES4,-1.6406310644685331,-4.598992907043045,1.7929606435941015,4.446663327917477
ISG15,0.08724702400959128,-1.2265716195083671,-0.3320250180122297,1.4713496135110056
AGRN,-1.8987171145986586,-1.599425299394657,0.40959580900530224,3.088546604988013
C1orf159,-0.2479575410460486,-0.6616253535468335,0.33946564271813817,0.5701172518747442
TTLL10-AS1,-0.1302545579955248,-0.20774718313882776,-0.20774718313882776,0.5457489242731803
TTLL10,-0.22890256496786301,-0.5553945131835649,-0.5553945131835649,1.3396915913349927
TNFRSF18,2.29812811893874,-2.6440944649001388,1.4156987213061751,-1.069732375344776
TNFRSF4,1.5107916229685752,-3.3716985556151684,-0.37706445438358394,2.237971387030177
SDF4,-0.3410504988800058,-1.9412923124815622,1.7780146057197141,0.504328205641853
B3GALT6,0.5222188934271479,-2.1324797702953,0.819553593622198,0.7907072832459545
C1QTNF12,-0.4541244011721165,-0.6649627456791849,1.4538872077183016,-0.3348000608670001
AL162741.1,0.19071614003302445,-0.20137498659991185,-0.20137498659991185,0.2120338331667993
UBE2J2,-0.30688660059254236,-0.04992391344688496,0.16806207685197183,0.1887484371874555
LINC01786,0.10770646927049674,-0.15086998585656208,0.1940335024426274,-0.15086998585656208
SCNN1D,-0.15539434189849677,-0.7351337714384276,0.5957005806729906,0.2948275326639339
ACAP3,-0.010230012142560252,-1.228884276335667,0.846403420287392,0.3927108681908358
PUSL1,0.40200068699145364,-0.31546088935868344,0.22184842647860892,-0.3083882241113791
INTS11,-0.32237647352728427,-0.782086873249991,0.4749971041991614,0.629466242578113
CPTP,-0.650555629733772,-1.0046694793495217,0.6159586211548214,1.0392664879284728
TAS1R3,1.5254091254864288,-0.7098356003798608,-0.2958578591700225,-0.5197156659365456
DVL1,-0.8341175554249984,-1.7502378950162614,1.4645671587841926,1.1197882916570667
MXRA8,-3.862304261142441,-3.864229391344275,6.4907025153473406,1.2358311371393764
AURKAIP1,-0.001260809052316958,-0.10612627362762161,0.10163393519039321,0.0057531474895444745
CCNL2,-0.5614869237042273,-1.448734893123274,0.9383510817280438,1.0718707350994565
MRPL20,-0.13744488995359472,-0.2739910964677543,0.16868413224960932,0.2427518541717406
AL391244.3,0.19024263781075101,0.11681564855728865,0.08526682089655646,-0.3923251072645961
