library,term,overlap,pval,zscore,combined_score,adj_pval,genes
GO_Biological_Process_2023,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240),5,0.00013009022965509556,12.39677296404523,110.9174269959656,0.014827381329867632,EYA1;UNC5B;IL1B;SNAI2;TNF
GO_Biological_Process_2023,Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099),5,0.00013009022965509556,12.39677296404523,110.9174269959656,0.014827381329867632,EYA1;UNC5B;IL1B;SNAI2;TNF
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),18,0.00013727665514222357,2.8971428571428572,25.76577559935031,0.014827381329867632,ALK;PDGFRA;CSF1R;EPHA7;FOXC1;RARRES2;IGF2;SORBS1;FGF2;FGF7;NR4A3;GRB14;COL4A2;PDGFD;DOK6;KIT;ROR2;EPHB1
GO_Biological_Process_2023,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),9,0.00013817504985262153,5.155802861685214,45.81956434629846,0.014827381329867632,COL1A1;WWTR1;PHLDB1;SFRP1;FOXC1;MDK;IL1B;PHLDB2;BMP5
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),19,0.0001397610922266872,2.7979626355628007,24.83353023296816,0.014827381329867632,TENM1;PDGFRA;CSF1R;CCL20;IGF2;CXCL17;PRKCA;NPNT;FGF2;TNF;PDGFD;IL1B;DOK6;KIT;CCL4;APOE;CD36;ROR2;GAS6
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),11,0.00014989120894001463,4.173569865582994,36.75079015031981,0.014915118901157121,PPP1R16B;FGF7;SFRP1;NR4A3;MDK;CNTN1;PIK3CD;PRKCA;FGF2;TNF;BMP5
GO_Biological_Process_2023,Regulation Of Lipid Catabolic Process (GO:0050994),5,0.00016304847821711473,11.707463402927766,102.10620876371667,0.014915118901157121,ALK;RARRES2;IL1B;PDE3B;TNF
GO_Biological_Process_2023,Long-Chain Fatty Acid Transport (GO:0015909),5,0.00016304847821711473,11.707463402927766,102.10620876371667,0.014915118901157121,FABP4;ACSL1;APOE;CD36;MFSD2A
GO_Biological_Process_2023,Regulation Of Cold-Induced Thermogenesis (GO:0120161),12,0.0001698819753546484,3.8095051060487037,33.0680533591665,0.014915118901157121,FABP4;ACADL;ACSL1;LAMA4;MFAP2;DIO2;LCN2;ALPL;G0S2;CD36;PPARGC1A;LGR4
GO_Biological_Process_2023,Regulation Of Nitrogen Compound Metabolic Process (GO:0051171),4,0.0001789303038699226,18.700191570881227,161.35486835873652,0.014915118901157121,ALDH2;APOE;TNF;MFSD2A
GO_Biological_Process_2023,Positive Regulation Of Macrophage Chemotaxis (GO:0010759),4,0.0001789303038699226,18.700191570881227,161.35486835873652,0.014915118901157121,CSF1R;MDK;RARRES2;CXCL17
GO_Biological_Process_2023,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),11,0.0001990262345225988,4.028823662566966,34.333933023385,0.01601818039226709,BRSK1;PHLDB1;SFRP1;SPARC;CDH2;SDC2;TNIK;FGF2;PHLDB2;PPFIA2;SH3D19
GO_Biological_Process_2023,Generation Of Neurons (GO:0048699),13,0.00021304839493820784,3.4812219227313568,29.430219541025448,0.01657516512619257,BRSK1;GPM6A;FZD3;EMX2;SEMA3A;IRX3;EN1;LRP4;SEPTIN4;RUNX2;PTPRD;MAP1B;ADGRL3
GO_Biological_Process_2023,Positive Regulation Of Metabolic Process (GO:0009893),10,0.00022378660443545285,4.329828001069424,36.391414670399676,0.016848965637172482,FABP4;ACSL1;MFAP2;DIO2;LCN2;ALPL;G0S2;CD36;TNF;PPARGC1A
GO_Biological_Process_2023,Fatty Acid Transport (GO:0015908),6,0.00023246064130087447,7.913961038961039,66.21444716878814,0.01693242249065681,FABP4;ACSL1;CRABP1;APOE;CD36;MFSD2A
GO_Biological_Process_2023,Positive Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051044),4,0.00024588459238940167,16.829310344827586,139.86247888131908,0.01693242249065681,IL1B;APOE;TNF;SH3D19
GO_Biological_Process_2023,Cell-Cell Junction Assembly (GO:0007043),8,0.0002476760806285767,5.374465148378192,44.62627367616518,0.01693242249065681,CLDN11;GJD3;CDH2;CDH11;FSCN1;PRKCA;CDH15;ACTG1
GO_Biological_Process_2023,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),9,0.0002570976179749079,4.708545146453643,38.92109177901876,0.01693242249065681,PPP1R16B;PDGFRA;UNC5B;PDGFD;KIT;ROR2;PTPN13;FGF2;TNF
GO_Biological_Process_2023,Synapse Organization (GO:0050808),11,0.0002611684702929071,3.8937272064186725,32.12459231701698,0.01693242249065681,PTPRD;GPM6A;C1QA;PTPRS;CDH2;TNC;LRP4;PTPRF;PPFIA2;ADGRL3;C1QC
GO_Biological_Process_2023,Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239),5,0.00036215460785169655,9.576870214019243,75.88175024426474,0.022243917229627888,EYA1;UNC5B;IL1B;SNAI2;TNF
GO_Biological_Process_2023,Positive Regulation Of Filopodium Assembly (GO:0051491),5,0.00036215460785169655,9.576870214019243,75.88175024426474,0.022243917229627888,GPM6A;TENM1;DOCK11;TENM2;FSCN1
GO_Biological_Process_2023,Response To Organic Cyclic Compound (GO:0014070),7,0.0003939907457862359,5.800136106503339,45.46832915721317,0.023578830786283967,SFRP1;IL1B;SPP1;CYP1B1;ALPL;CLU;TNF
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),6,0.0004081977966851726,7.033189033189033,54.885310143337826,0.02364748779758039,COL1A1;COL1A2;COL5A1;COL11A1;PXDN;CYP1B1
GO_Biological_Process_2023,Ethanol Oxidation (GO:0006069),3,0.0004154014565984558,31.496774193548386,245.2422349266969,0.02364748779758039,ACSS2;ADH1A;ADH6
GO_Biological_Process_2023,Negative Regulation Of Wnt Signaling Pathway (GO:0030178),11,0.00046273854487265093,3.6203925160721253,27.798634942969848,0.025247073732426153,WWTR1;SFRP1;IGFBP4;MDK;WIF1;IGFBP2;SNAI2;LRP4;APOE;APCDD1;TRABD2B
