gene_set,term,p,adj,combined,n_genes,genes
GTEx_Tissue_Expression_Up,GTEX-OHPM-0226-SM-3LK61 adipose tissue male 50-59 years,0.0003889630548394554,0.010674467231395996,22.3009133603719,16,TCF7L2;RAMP2;GSN;NEGR1;LAMA2;CAB39L;SHOX2;FBLN2;PARD3B;MFAP5
GTEx_Tissue_Expression_Up,GTEX-VJWN-0005-SM-3GIKF blood female 50-59 years,0.0003931926301690395,0.010679943572155579,18.06829125673368,24,IGHM;IGHV5-51;IGHV3-30;IGKV1-5;IGHV4-34;IGLV3-1;ASGR2;OASL;IGLV2-8;BAG6
GTEx_Tissue_Expression_Up,GTEX-X5EB-2426-SM-4E3HX adipose tissue male 40-49 years,0.00039650529590677295,0.010679943572155579,18.38378935633541,23,TCF7L2;RAMP2;PLEKHH2;GSN;PLEKHF1;NEGR1;LAMA2;TSHZ2;SHOX2;COPZ2
GTEx_Tissue_Expression_Up,GTEX-XUJ4-2526-SM-4BOO4 adipose tissue female 60-69 years,0.0004044676393047484,0.010794462043463422,20.677747465374654,18,RAMP2;GSN;DPT;ANXA11;CCDC107;F3;FBLN2;GNAI1;SCUBE2;TBX15
GTEx_Tissue_Expression_Up,GTEX-XV7Q-2626-SM-4BRVA adipose tissue female 40-49 years,0.0004218226249697723,0.011106016126837755,19.39720850374119,20,IGHM;PDE1B;TSHZ2;IGLV3-1;MEOX2;FBLN2;SCUBE2;IGHG4;CYP26B1;IGHG2
GTEx_Tissue_Expression_Up,GTEX-R53T-1626-SM-3GAEW adipose tissue female 50-59 years,0.00042377717087624297,0.011106016126837755,15.563717922789456,34,COL15A1;PLEKHH2;ACSS2;SEMA3C;MCM9;TSHZ2;DPT;MEOX2;ADAMTS12;NR3C1
GTEx_Tissue_Expression_Up,GTEX-WK11-2426-SM-3NMAA adipose tissue male 50-59 years,0.0004317258662551212,0.011213308436929888,18.06488189417346,23,RAMP2;COL15A1;SEMA3C;CAV1;TSHZ2;EBF2;COPZ2;DPT;NPIPP1;SLC35G2
GTEx_Tissue_Expression_Up,GTEX-W5WG-2426-SM-4LMI6 colon female 50-59 years,0.0004399370636239944,0.011325459452054865,16.35360737601712,29,ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;IGLV2-8;HOXA-AS3;IGLV1-40;IGLV6-57
GTEx_Tissue_Expression_Up,GTEX-R55D-1826-SM-48FEF colon male 50-59 years,0.00045125359802901724,0.011514883479529923,15.533870826107592,33,IGHM;ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;OASL;IGLV2-8;HOXA-AS3
GTEx_Tissue_Expression_Up,GTEX-SIU8-0226-SM-2XCDS adipose tissue male 50-59 years,0.0004604468560247013,0.011647303514572662,19.536343871810676,19,TCF7L2;COL15A1;GSN;CAV1;EBF2;MEOX2;NR3C1;FBLN2;GNAI1;SCUBE2
GTEx_Tissue_Expression_Up,GTEX-OXRP-0526-SM-2I3EW lung female 60-69 years,0.00048294326917474196,0.012050233437019093,17.649148131313233,23,IGHM;IGHV5-51;IGHV3-30;LAMA2;TSHZ2;ANXA5;IGKV1-5;IGHV4-34;IGLV3-1;TBX5
GTEx_Tissue_Expression_Up,GTEX-S4Q7-0826-SM-4AD5E colon male 20-29 years,0.000488671831092343,0.012050233437019093,16.016735639822436,29,IGHM;ACSS2;IGHV4-34;IGLV3-1;F11R;GBA2;ABO;CLYBL;IGLV2-8;IGLV3-25
GTEx_Tissue_Expression_Up,GTEX-SE5C-1526-SM-4BRWU colon female 40-49 years,0.0004888028688787395,0.012050233437019093,18.35565042674203,21,IGHV5-51;GSDMB;ACSS2;IGHV3-30;IGKV1-5;GBA2;ABO;CLYBL;IGLV2-8;IGLV6-57
GTEx_Tissue_Expression_Up,GTEX-SNMC-1326-SM-2XCFK adipose tissue male 20-29 years,0.0005359396970208594,0.013101248559946889,15.723399211070092,29,COL15A1;ACSS2;PDE1B;DPT;MEOX2;ADAMTS12;NR3C1;TRHDE;GNAI1;SCUBE2
GTEx_Tissue_Expression_Up,GTEX-PSDG-0326-SM-48TCP adipose tissue male 50-59 years,0.0005504708984880861,0.013340367829213821,18.78545598295743,19,TCF7L2;RAMP2;PLEKHH2;GSN;LAMA2;DPT;SLC35G2;MEOX2;TRHDE;GNAI1
GTEx_Tissue_Expression_Up,GTEX-X585-0008-SM-46MU4 skin male 50-59 years,0.0005596957111475617,0.013340367829213821,15.792132329711569,28,METTL2B;SEC23A;LAMA2;SEMA3C;SHOX2;DPT;ADAMTS12;FBLN2;EFEMP1;TMEM43
GTEx_Tissue_Expression_Up,GTEX-WFON-2526-SM-3LK7P blood vessel male 40-49 years,0.0005662281471540581,0.013340367829213821,21.257186412948798,15,GSN;CAB39L;ADHFE1;CCDC107;SNX21;MEOX2;KLF15;TBX18;PARD3B;DIAPH2
GTEx_Tissue_Expression_Up,GTEX-XAJ8-0226-SM-4GIB2 adipose tissue male 40-49 years,0.0005669529816098476,0.013340367829213821,17.779127575775945,21,GSN;ACSS2;TSHZ2;ANXA5;DPT;CCDC107;ADAMTS12;BARX1;KLF15;F3
GTEx_Tissue_Expression_Up,GTEX-Q2AH-1226-SM-48TZL colon male 40-49 years,0.0005686509490623973,0.013340367829213821,14.848187659906738,33,IGHM;ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;OASL;IGLV2-8;HOXA-AS3
GTEx_Tissue_Expression_Up,GTEX-PLZ5-1126-SM-3P613 colon male 50-59 years,0.0005807700596986307,0.013515680829306532,14.940472895161266,32,IGHM;ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;IGLV2-8;HOXA-AS3;IGLV3-25
GTEx_Tissue_Expression_Up,GTEX-WH7G-1526-SM-4LVMX stomach male 40-49 years,0.000606972279502983,0.014013352072017284,21.80813911806554,14,SEC23A;COL15A1;ARHGEF26;CAB39L;NRXN3;ATP2B4;CCDC107;BARX1;KLF15;RRAS
GTEx_Tissue_Expression_Up,GTEX-X638-0226-SM-47JZ9 adipose tissue female 70-79 years,0.0006334264479694659,0.014461942442682098,19.285196520605485,17,GSTM2;PLEKHH2;GSN;KLHDC1;SHOX2;EBF2;COPZ2;DPT;FBLN2;MFAP5
GTEx_Tissue_Expression_Up,GTEX-P4QS-1826-SM-2S1NI blood vessel male 60-69 years,0.000636345353270302,0.014461942442682098,19.91905967231439,16,TCF7L2;GSN;SHOX2;CCDC107;SNX21;KLF15;TBX18;PARD3B;TBX15;EPN2-AS1
GTEx_Tissue_Expression_Up,GTEX-XMD3-0008-SM-4AT4V skin female 50-59 years,0.0006450089734091807,0.014540956135715452,16.301877665390617,24,MORC4;LAMA2;SEMA3C;ANXA5;SHOX2;COPZ2;DPT;SNX21;ADAMTS12;FBLN2
GTEx_Tissue_Expression_Up,GTEX-WFON-1026-SM-4LVMD esophagus male 40-49 years,0.0006498192841674145,0.014540956135715452,22.487939712356923,13,SPRYD3;CAB39L;ADHFE1;DPT;BARX1;KLF15;GNAI1;DIAPH2;RRAS;CILP
GTEx_Tissue_Expression_Up,GTEX-OIZH-0226-SM-2YUMH adipose tissue male 50-59 years,0.0006904244357360897,0.015331638805773167,18.9033599608125,17,TCF7L2;RAMP2;COL15A1;GSN;LAMA2;TSHZ2;EBF2;MEOX2;FBLN2;SCUBE2
GTEx_Tissue_Expression_Up,GTEX-SNOS-1226-SM-4DM5H colon male 40-49 years,0.0007386396435125234,0.016278050931650988,15.335526169515072,26,IGHM;ACSS2;IGLV3-1;GBA2;CLYBL;OASL;IGLV2-8;IGLV3-25;IGHG4;IGLV1-40
GTEx_Tissue_Expression_Up,GTEX-SNOS-0526-SM-4DM54 bladder male 40-49 years,0.0007636633411589859,0.016702982401740524,13.506911705758926,37,CAB39L;MCM9;IGHV4-34;IGLV3-1;ABO;ROBO1;IGLV2-8;SCUBE2;IGLV3-25;IGHG4
GTEx_Tissue_Expression_Up,GTEX-S7SE-0826-SM-4AT4D breast male 50-59 years,0.0007719239948389821,0.016719850577704583,15.683276059838109,24,GSTM2;RAMP2;COL15A1;GSN;CAV1;TSHZ2;EBF2;COPZ2;DPT;SLC35G2
GTEx_Tissue_Expression_Up,GTEX-T6MO-1526-SM-4DM57 uterus female 40-49 years,0.0007759298136782807,0.016719850577704583,19.00319422661965,16,PLEKHH2;SEMA3C;ATP2B4;LRP6;MFAP5;TMEM43;RRAS;LRRN4CL;ZNF558;RSPO1
GO_Biological_Process_2023,Sinoatrial Node Development (GO:0003163),4.211189596119981e-05,0.016802646488518723,701.715021800704,3,SHOX2;TBX5;TBX18
GTEx_Tissue_Expression_Up,GTEX-O5YW-1826-SM-2YUN2 blood vessel male 50-59 years,0.0008237967785568093,0.017620770800159988,20.22583351238634,14,TCF7L2;GSN;PLEKHF1;LAMA2;SHOX2;COPZ2;KLF15;GLIS1;PARD3B;TBX15
GTEx_Tissue_Expression_Up,GTEX-O5YT-0226-SM-32PK5 adipose tissue male 20-29 years,0.0008418940225705425,0.01784659558841844,14.911197001853436,26,SEC23A;COL15A1;ARHGEF26;PDE1B;ADAMTS12;GNAI1;GOLGA4;PALMD;VTI1A;AP1M1
GTEx_Tissue_Expression_Up,GTEX-S4Z8-1726-SM-3K2AX adipose tissue male 60-69 years,0.0008466243352360758,0.01784659558841844,19.29095972310608,15,TCF7L2;ACSS2;LAMA2;CAB39L;CAV1;PARD3B;MFAP5;DIAPH2;TMEM43;CILP
GTEx_Tissue_Expression_Up,GTEX-WXYG-0926-SM-3NB2O adipose tissue female 50-59 years,0.000877733458532289,0.018369256337197326,18.446244554552628,16,RAMP2;GSN;NEGR1;LAMA2;EBF2;DPT;BARX1;GNAI1;SCUBE2;MFAP5
GTEx_Tissue_Expression_Up,GTEX-XQ8I-0526-SM-4BOPS adipose tissue male 50-59 years,0.0009888098201000178,0.020508327341544202,16.433941880011183,19,TCF7L2;RAMP2;GSN;TSHZ2;SHOX2;DPT;SNX21;MEOX2;F3;FBLN2
GTEx_Tissue_Expression_Up,GTEX-XOT4-0826-SM-4B66Y adipose tissue female 60-69 years,0.0009985228530547258,0.020508327341544202,15.666972887045954,21,GSTM2;PLEKHH2;GSN;SEMA3C;CAV1;TSHZ2;COPZ2;DPT;SLC35G2;MEOX2
GTEx_Tissue_Expression_Up,GTEX-TML8-1326-SM-4DXTO colon female 40-49 years,0.0010010940125470184,0.020508327341544202,13.10704571183414,34,IGHM;ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;OASL;IGLV2-8;HOXA-AS3
GTEx_Tissue_Expression_Up,GTEX-R55G-0426-SM-48FDH blood vessel female 40-49 years,0.0010179897027242312,0.020708615700872648,20.049923746666842,13,SEC23A;COL15A1;CCDC107;SNX21;TBX18;MFAP5;EFEMP1;RRAS;CILP;MFAP2
GTEx_Tissue_Expression_Up,GTEX-R55E-0326-SM-48FD2 blood vessel male 20-29 years,0.0010631401387780047,0.021476907386841774,17.054224662759896,17,TCF7L2;RAMP2;GSN;SDC2;CAV1;SHOX2;ATP2B4;EBF2;ANXA11;MEOX2
GTEx_Tissue_Expression_Up,GTEX-OOBJ-1526-SM-3NB1Q stomach male 60-69 years,0.001111876558176039,0.02219171097075781,14.027933576525237,26,IGHM;IGHV4-34;IGLV3-1;BARX1;OASL;IGLV2-8;IGLV3-25;IGHG4;IGLV1-40;IGHG2
GTEx_Tissue_Expression_Up,GTEX-S4Q7-1126-SM-4AD6R breast male 20-29 years,0.001113781300010533,0.02219171097075781,16.391692336685875,18,RAMP2;PDE1B;ANXA5;CCDC107;F11R;MEOX2;ADAMTS12;TRHDE;SCUBE2;CYP26B1
GTEx_Tissue_Expression_Up,GTEX-VUSG-1426-SM-3GIJN adipose tissue male 50-59 years,0.0011270038484875223,0.022302409491497976,15.563361729031932,20,GSDMB;ACSS2;TSHZ2;EBF2;DPT;SLC35G2;F11R;MEOX2;ADAMTS12;NR3C1
GTEx_Tissue_Expression_Up,GTEX-Q734-1126-SM-48TZY colon female 40-49 years,0.0011422833146515785,0.02245204163730704,13.413942071082241,29,ACSS2;IGHV4-34;IGLV3-1;RPAP1;GBA2;ABO;IGLV2-8;HOXA-AS3;IGLV3-25;IGHG4
GTEx_Tissue_Expression_Up,GTEX-XGQ4-0826-SM-4AT4T lung male 50-59 years,0.0011834018612080848,0.023104134323854487,16.152267085324446,18,IGHV5-51;PLEKHH2;LAMA2;IGKV1-5;IGHV4-34;IGLV3-1;TBX5;IGLV2-8;IGLV3-25;IGLV1-40
GTEx_Tissue_Expression_Up,GTEX-RU72-1026-SM-46MUG adipose tissue female 50-59 years,0.0012079160984551254,0.023425519536039732,15.309528680508663,20,RAMP2;COL15A1;GSN;PDE1B;EBF2;MEOX2;ADAMTS12;NR3C1;FBLN2;GNAI1
GTEx_Tissue_Expression_Up,GTEX-NFK9-0326-SM-3MJGV adipose tissue male 40-49 years,0.001237756470589904,0.023845255449973714,14.901295820632738,21,TCF7L2;RAMP2;PLEKHH2;GSN;LAMA2;CAB39L;CAV1;SHOX2;ADAMTS12;TRHDE
GTEx_Tissue_Expression_Up,GTEX-Q2AH-1126-SM-48TZM stomach male 40-49 years,0.0012722924102138383,0.024349333034947736,13.80782376399283,25,IGHM;IGHV4-34;IGLV3-1;BARX1;OASL;IGLV2-8;SCUBE2;IGLV3-25;IGHG4;IGLV1-40
GTEx_Tissue_Expression_Up,GTEX-PW2O-1926-SM-2S1OB blood vessel male 20-29 years,0.0012877081994846083,0.024483288577128927,14.762368392927504,21,IGSF8;TCF7L2;SEC23A;SPRYD3;SDC2;CCDC107;MEOX2;NR3C1;TBX18;PARD3B
GTEx_Tissue_Expression_Up,GTEX-OXRK-1626-SM-3NB17 stomach female 50-59 years,0.0013731447668369843,0.025938169654083035,17.072341258202922,15,IGHV3-30;IGKV1-5;BARX1;IGLV2-8;SCUBE2;IGLV3-25;IGLV1-40;IGLV6-57;IGLV2-14;IGLV2-23
MSigDB_Hallmark_2020,Hypoxia,0.0015267898942710257,0.025955428202607437,25.449928941296296,8,CAVIN1;SDC2;CAV1;CCN5;GPC3;NR3C1;ENO3;F3
GTEx_Tissue_Expression_Up,GTEX-REY6-2426-SM-48FF5 breast male 60-69 years,0.001418189028405567,0.026616205700850288,15.068902389447777,19,RAMP2;GSN;PDE1B;CAV1;CCDC107;SLC35G2;F11R;MEOX2;ADAMTS12;F3
