ensg,symbol,name,pct_loc_M3,pct_loc_M1,pct_loc_M2,pct_Hemato,pct_Bone
ENSG00000053438.11,,,0.7024,0.5495,0.1359,0.0244,0.2156
ENSG00000159884.12,,,0.7015,0.6655,0.0000,0.0834,0.2026
ENSG00000100528.12,,,0.7010,0.7131,0.0000,0.0031,0.2335
ENSG00000112837.17,,,0.7003,0.8112,0.0000,0.0000,0.2899
ENSG00000154274.15,,,0.7001,0.7413,0.0000,0.1447,0.1057
ENSG00000135111.16,,,0.6988,0.7051,0.0000,0.0002,0.2777
ENSG00000064309.14,,,0.6961,0.7298,0.0880,0.0000,0.2846
ENSG00000090905.19,,,0.6959,0.5753,0.1343,0.0056,0.2690
ENSG00000288066.1,,,0.6958,0.5352,0.0000,0.0523,0.2059
ENSG00000171016.12,,,0.6954,0.7796,0.0079,0.0044,0.2621
ENSG00000114790.13,,,0.6942,0.7304,0.1104,0.0015,0.2938
ENSG00000137413.16,,,0.6941,0.5406,0.0000,0.0296,0.2236
ENSG00000143420.18,,,0.6934,0.6596,0.0000,0.1022,0.1909
ENSG00000250565.7,,,0.6924,0.6697,0.0821,0.0169,0.2231
ENSG00000171368.12,,,0.6920,0.5660,0.0502,0.0179,0.2574
ENSG00000074935.14,,,0.6913,0.5901,0.0000,0.0663,0.2006
ENSG00000116521.11,,,0.6891,0.6046,0.0000,0.1086,0.1800
ENSG00000278196.3,,,0.6879,0.7022,0.0000,0.0037,0.2752
ENSG00000108515.17,,,0.6879,0.5197,0.0000,0.0772,0.0763
ENSG00000144674.16,,,0.6878,0.5831,0.0000,0.0434,0.2475
ENSG00000205213.14,,,0.6876,0.5296,0.0000,0.0255,0.2348
ENSG00000211890.4,,,0.6844,0.8815,0.0000,0.1394,0.0158
ENSG00000233967.7,,,0.6840,0.6043,0.0000,0.0101,0.2645
ENSG00000245937.8,,,0.6840,0.7458,0.0000,0.0461,0.2574
ENSG00000177707.11,,,0.6831,0.6258,0.0000,0.0082,0.2798
ENSG00000211669.3,,,0.6829,0.7339,0.0000,0.0067,0.2960
ENSG00000167778.9,,,0.6813,0.5793,0.0000,0.0143,0.2693
ENSG00000182463.16,,,0.6811,0.6816,0.0000,0.0042,0.2655
ENSG00000088179.9,,,0.6804,0.6423,0.0000,0.0223,0.2850
ENSG00000167785.9,,,0.6800,0.5507,0.0000,0.0690,0.2173
ENSG00000163683.12,,,0.6799,0.6144,0.0000,0.0178,0.2688
ENSG00000270021.1,,,0.6795,0.6008,0.0000,0.1185,0.1814
ENSG00000137055.15,,,0.6788,0.4479,0.0000,0.2290,0.0252
ENSG00000119929.13,,,0.6787,0.6824,0.0278,0.0260,0.2697
ENSG00000175356.13,,,0.6786,0.5874,0.2630,0.0856,0.1997
ENSG00000164111.15,,,0.6785,0.5600,0.0000,0.0019,0.2629
ENSG00000212743.2,,,0.6780,0.5193,0.0000,0.1365,0.1557
ENSG00000179715.13,,,0.6779,0.6316,0.0000,0.0033,0.2685
ENSG00000117280.13,,,0.6778,0.5273,0.0000,0.0563,0.2154
ENSG00000215244.3,,,0.6765,0.5689,0.0000,0.0687,0.2391
ENSG00000247081.8,,,0.6760,0.4057,0.0000,0.0302,0.1788
ENSG00000048342.16,,,0.6760,0.6771,0.0000,0.0001,0.2947
ENSG00000258479.6,,,0.6745,0.6031,0.0000,0.0017,0.2953
ENSG00000186448.15,,,0.6724,0.5192,0.0000,0.1004,0.1444
ENSG00000072657.9,,,0.6721,0.6682,0.3823,0.0292,0.2652
ENSG00000151532.13,,,0.6719,0.6097,0.0000,0.2227,0.0788
ENSG00000107175.12,,,0.6717,0.4850,0.2684,0.0107,0.2872
ENSG00000122359.18,,,0.6714,0.5325,0.0723,0.1064,0.1990
ENSG00000152527.14,,,0.6713,0.7106,0.1799,0.0024,0.2926
ENSG00000128928.10,,,0.6712,0.4801,0.0000,0.0005,0.2869
ENSG00000123360.12,,,0.6707,0.5206,0.0000,0.0052,0.3063
ENSG00000070061.15,,,0.6703,0.4419,0.0000,0.1061,0.1728
ENSG00000126458.4,,,0.6696,0.6476,0.0000,0.0004,0.3125
ENSG00000168917.9,,,0.6696,0.5739,0.0512,0.0026,0.3145
ENSG00000211659.2,,,0.6692,0.8740,0.0000,0.1435,0.0450
ENSG00000254369.6,,,0.6690,0.5743,0.0000,0.0662,0.2531
ENSG00000099204.20,,,0.6689,0.6205,0.0804,0.0076,0.2679
ENSG00000170876.7,,,0.6684,0.5686,0.0000,0.0159,0.3021
ENSG00000164659.15,,,0.6681,0.6313,0.3277,0.0067,0.3028
ENSG00000274021.1,,,0.6674,0.6282,0.2657,0.0349,0.2642
ENSG00000103932.12,,,0.6668,0.5641,0.0000,0.0352,0.2884
ENSG00000235397.1,,,0.6668,0.7078,0.0965,0.0026,0.0022
ENSG00000111877.17,,,0.6662,0.5210,0.0436,0.0951,0.1842
ENSG00000244968.7,,,0.6657,0.7922,0.0000,0.0605,0.1561
ENSG00000221818.9,,,0.6657,0.5863,0.0882,0.0000,0.2985
ENSG00000214548.18,,,0.6654,0.4468,0.0000,0.1421,0.1344
ENSG00000150672.17,,,0.6652,0.4353,0.0301,0.0003,0.2917
ENSG00000162878.13,,,0.6640,0.4685,0.1892,0.0005,0.2997
ENSG00000126561.16,,,0.6637,0.4282,0.0699,0.0022,0.2809
ENSG00000281990.1,,,0.6633,0.5640,0.0000,0.0711,0.2120
ENSG00000197776.8,,,0.6633,0.6255,0.0000,0.0005,0.2845
ENSG00000169855.20,,,0.6631,0.7010,0.0000,0.0054,0.3141
ENSG00000131069.20,,,0.6614,0.5464,0.4267,0.0029,0.3134
ENSG00000132824.14,,,0.6614,0.4379,0.0000,0.0460,0.2437
ENSG00000103479.16,,,0.6612,0.4045,0.0000,0.0997,0.1916
ENSG00000103319.12,,,0.6611,0.4232,0.1752,0.0492,0.2497
ENSG00000121310.17,,,0.6600,0.5862,0.1907,0.0390,0.2418
ENSG00000147576.17,,,0.6597,0.5850,0.2500,0.0385,0.2532
ENSG00000100678.18,,,0.6585,0.4861,0.0000,0.0335,0.2648
ENSG00000165526.9,,,0.6584,0.4892,0.2036,0.0704,0.2520
ENSG00000226312.7,,,0.6583,0.5432,0.0000,0.1395,0.1658
ENSG00000170624.13,,,0.6565,0.6740,0.0000,0.0001,0.3298
ENSG00000143315.8,,,0.6559,0.4672,0.0000,0.0008,0.3082
ENSG00000139211.6,,,0.6554,0.4510,0.0000,0.0034,0.3076
ENSG00000036530.9,,,0.6552,0.4533,0.0000,0.1940,0.1241
ENSG00000114739.14,,,0.6539,0.4535,0.0591,0.1962,0.1166
ENSG00000113441.16,,,0.6533,0.4133,0.0000,0.0029,0.2933
ENSG00000106006.6,,,0.6527,0.5414,0.0000,0.0000,0.2974
ENSG00000160233.8,,,0.6527,0.3958,0.0000,0.0019,0.2845
ENSG00000118596.12,,,0.6526,0.4657,0.0000,0.0003,0.2983
ENSG00000123159.16,,,0.6517,0.6174,0.0115,0.0040,0.3281
ENSG00000198040.10,,,0.6516,0.4817,0.0000,0.1187,0.2087
ENSG00000146802.13,,,0.6512,0.4896,0.0000,0.0089,0.3226
ENSG00000169184.6,,,0.6507,0.3845,0.0000,0.0336,0.2698
ENSG00000221926.12,,,0.6507,0.4163,0.2010,0.0323,0.2769
ENSG00000148737.17,,,0.6504,0.5034,0.1376,0.0019,0.3294
ENSG00000110921.14,,,0.6498,0.3575,0.0577,0.0622,0.2283
ENSG00000162929.14,,,0.6498,0.4588,0.0576,0.0548,0.2737
ENSG00000126005.17,,,0.6493,0.4886,0.0458,0.0274,0.2660
ENSG00000135114.12,,,0.6493,0.6040,0.0000,0.0484,0.1700
ENSG00000079102.16,,,0.6488,0.6735,0.0000,0.0002,0.3042
ENSG00000119227.8,,,0.6481,0.4647,0.0000,0.0008,0.3360
ENSG00000117525.14,,,0.6479,0.5013,0.0380,0.0028,0.3121
ENSG00000130363.11,,,0.6472,0.3411,0.0000,0.1187,0.1824
ENSG00000166170.9,,,0.6464,0.4585,0.1002,0.1072,0.2291
ENSG00000204291.11,,,0.6462,0.6538,0.0000,0.0022,0.3279
ENSG00000130818.12,,,0.6460,0.5356,0.0000,0.0037,0.2957
ENSG00000211938.2,,,0.6457,0.8978,0.0000,0.2333,0.0329
ENSG00000247572.8,,,0.6455,0.5203,0.0000,0.0337,0.3137
ENSG00000168490.14,,,0.6454,0.4595,0.0000,0.0555,0.2489
ENSG00000197256.10,,,0.6453,0.4980,0.0742,0.0031,0.1850
ENSG00000118495.19,,,0.6451,0.3924,0.0000,0.0327,0.2940
ENSG00000275126.1,,,0.6451,0.6169,0.0000,0.0209,0.3121
ENSG00000106610.15,,,0.6450,0.4315,0.0000,0.3203,0.0037
ENSG00000106511.6,,,0.6445,0.5825,0.0651,0.0017,0.2980
ENSG00000285774.2,,,0.6443,0.3202,0.0000,0.0137,0.2891
ENSG00000159792.10,,,0.6435,0.5736,0.0000,0.0850,0.0444
ENSG00000108604.16,,,0.6427,0.4743,0.0633,0.0852,0.2469
ENSG00000171135.15,,,0.6426,0.4889,0.0000,0.0825,0.2022
ENSG00000101940.18,,,0.6421,0.4567,0.0000,0.0240,0.3216
ENSG00000151422.13,,,0.6421,0.4826,0.0000,0.0140,0.2977
ENSG00000139970.17,,,0.6419,0.5699,0.2058,0.0017,0.3313
ENSG00000185684.15,,,0.6419,0.3551,0.0000,0.0818,0.2343
ENSG00000198382.9,,,0.6419,0.3459,0.0000,0.0309,0.2874
ENSG00000157379.14,,,0.6410,0.4177,0.0000,0.0584,0.2777
ENSG00000182621.18,,,0.6409,0.5228,0.0000,0.0291,0.3189
ENSG00000204991.11,,,0.6404,0.6047,0.0000,0.0096,0.1574
ENSG00000131831.18,,,0.6399,0.7062,0.1841,0.0173,0.3227
ENSG00000253456.1,,,0.6398,0.5104,0.0000,0.0744,0.2808
