ensg,symbol,name,pct_loc_M1,pct_loc_M3,pct_loc_M2,pct_Hemato,pct_Bone
ENSG00000211967.3,IGHV3-53,immunoglobulin heavy variable 3-53,0.7954,0.7580,0.0000,0.0037,0.2156
ENSG00000115286.20,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,0.7475,0.7103,0.3118,0.0114,0.2545
ENSG00000114790.13,ARHGEF26,Rho guanine nucleotide exchange factor 26,0.7304,0.6942,0.1104,0.0015,0.2938
ENSG00000175857.8,GAPT,"GRB2 binding adaptor protein, transmembrane",0.5975,0.5618,0.0000,0.0960,0.3240
ENSG00000064309.14,CDON,"cell adhesion associated, oncogene regulated",0.7298,0.6961,0.0880,0.0000,0.2846
ENSG00000133256.12,PDE6B,phosphodiesterase 6B,0.5712,0.5427,0.0000,0.0364,0.3823
ENSG00000184347.14,SLIT3,slit guidance ligand 3,0.6313,0.6037,0.0428,0.0003,0.3660
ENSG00000101049.17,SGK2,serum/glucocorticoid regulated kinase 2,0.8012,0.7739,0.3096,0.0000,0.2042
ENSG00000116194.13,ANGPTL1,angiopoietin like 1,0.8444,0.8181,0.0000,0.0134,0.1356
ENSG00000231365.6,WARS2-AS1,WARS2 antisense RNA 1,0.8422,0.8164,0.0000,0.0001,0.1488
ENSG00000079102.16,RUNX1T1,RUNX1 partner transcriptional co-repressor 1,0.6735,0.6488,0.0000,0.0002,0.3042
ENSG00000211968.3,IGHV1-58,immunoglobulin heavy variable 1-58,0.6235,0.5997,0.0000,0.0313,0.3606
ENSG00000089225.19,TBX5,T-box transcription factor 5,0.9922,0.9703,0.0731,0.0115,0.0102
ENSG00000117877.10,POLR1G,RNA polymerase I subunit G,0.5725,0.5509,0.0000,0.0025,0.0497
ENSG00000270550.1,IGHV3-30,immunoglobulin heavy variable 3-30,0.8144,0.7943,0.0000,0.0099,0.1410
ENSG00000196653.12,ZNF502,zinc finger protein 502,0.7565,0.7370,0.4146,0.0004,0.1830
ENSG00000156103.16,MMP16,matrix metallopeptidase 16,0.9351,0.9158,0.0000,0.0159,0.0108
ENSG00000211937.3,IGHV2-5,immunoglobulin heavy variable 2-5,0.8797,0.8612,0.0000,0.0264,0.0709
ENSG00000273151.1,GET4-AS1,GET4 antisense RNA 1,0.5336,0.5154,0.0000,0.3112,0.1392
ENSG00000117122.14,MFAP2,microfibril associated protein 2,0.5683,0.5505,0.0000,0.0786,0.3345
ENSG00000170624.13,SGCD,sarcoglycan delta,0.6740,0.6565,0.0000,0.0001,0.3298
ENSG00000211966.2,IGHV5-51,immunoglobulin heavy variable 5-51,0.8343,0.8175,0.0000,0.0143,0.1088
ENSG00000211673.2,IGLV3-1,immunoglobulin lambda variable 3-1,0.8602,0.8439,0.0000,0.0034,0.0966
ENSG00000278196.3,IGLV2-8,immunoglobulin lambda variable 2-8,0.7022,0.6879,0.0000,0.0037,0.2752
ENSG00000100528.12,CNIH1,cornichon family member 1,0.7131,0.7010,0.0000,0.0031,0.2335
ENSG00000156463.18,SH3RF2,SH3 domain containing ring finger 2,0.7583,0.7476,0.0167,0.0302,0.1995
ENSG00000168779.19,SHOX2,SHOX homeobox 2,0.5944,0.5848,0.0000,0.0023,0.3570
ENSG00000147257.14,GPC3,glypican 3,0.7517,0.7427,0.1136,0.0018,0.2182
ENSG00000229240.9,LINC00710,long intergenic non-protein coding RNA 710,0.8060,0.7975,0.0915,0.0037,0.1612
ENSG00000141542.11,RAB40B,"RAB40B, member RAS oncogene family",0.7340,0.7260,0.0000,0.0000,0.2234
ENSG00000204291.11,COL15A1,collagen type XV alpha 1 chain,0.6538,0.6462,0.0000,0.0022,0.3279
ENSG00000197614.11,MFAP5,microfibril associated protein 5,0.9280,0.9205,0.0058,0.0307,0.0154
ENSG00000135111.16,TBX3,T-box transcription factor 3,0.7051,0.6988,0.0000,0.0002,0.2777
ENSG00000003137.8,CYP26B1,cytochrome P450 family 26 subfamily B member 1,0.5804,0.5758,0.0000,0.0760,0.3157
ENSG00000119929.13,CUTC,cutC copper transporter,0.6824,0.6787,0.0278,0.0260,0.2697
ENSG00000286522.1,H3C2,H3 clustered histone 2,0.5764,0.5729,0.0000,0.1396,0.2449
ENSG00000131477.11,RAMP2,receptor activity modifying protein 2,0.5662,0.5628,0.0266,0.0274,0.3241
ENSG00000287373.1,,,0.9726,0.9712,0.0000,0.0001,0.0067
ENSG00000048342.16,CC2D2A,coiled-coil and C2 domain containing 2A,0.6771,0.6760,0.0000,0.0001,0.2947
ENSG00000182463.16,TSHZ2,teashirt zinc finger homeobox 2,0.6816,0.6811,0.0000,0.0042,0.2655
ENSG00000241351.3,IGKV3-11,immunoglobulin kappa variable 3-11,0.7037,0.7037,0.0000,0.0116,0.2399
ENSG00000197632.9,SERPINB2,serpin family B member 2,0.6141,0.6143,0.0000,0.0029,0.0567
ENSG00000149474.13,KAT14,lysine acetyltransferase 14,0.7851,0.7874,0.0000,0.0349,0.1383
ENSG00000286322.1,LOC105376020,uncharacterized LOC105376020,0.7186,0.7212,0.2600,0.0281,0.2004
ENSG00000133027.18,PEMT,phosphatidylethanolamine N-methyltransferase,0.5930,0.5960,0.0000,0.0304,0.3387
ENSG00000073605.18,GSDMB,gasdermin B,0.7389,0.7421,0.0000,0.1174,0.1067
ENSG00000072657.9,TRHDE,thyrotropin releasing hormone degrading enzyme,0.6682,0.6721,0.3823,0.0292,0.2652
ENSG00000211640.4,IGLV6-57,immunoglobulin lambda variable 6-57,0.7652,0.7705,0.0000,0.0093,0.1685
ENSG00000086570.12,FAT2,FAT atypical cadherin 2,0.7480,0.7563,0.0065,0.0061,0.2106
ENSG00000280347.1,,,0.7222,0.7327,0.0000,0.0587,0.1795
ENSG00000267385.1,,,0.7278,0.7477,0.0000,0.0433,0.1512
ENSG00000278983.1,,,0.6953,0.7168,0.2409,0.0198,0.2453
ENSG00000108799.13,EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit,0.8666,0.8883,0.0422,0.0018,0.0381
ENSG00000126458.4,RRAS,RAS related,0.6476,0.6696,0.0000,0.0004,0.3125
ENSG00000250565.7,ATP6V1E2,ATPase H+ transporting V1 subunit E2,0.6697,0.6924,0.0821,0.0169,0.2231
ENSG00000005243.10,COPZ2,coat protein complex I subunit zeta 2,0.5210,0.5444,0.0000,0.0050,0.4234
ENSG00000203392.3,,,0.7464,0.7700,0.1432,0.0008,0.1731
ENSG00000070610.14,GBA2,glucosylceramidase beta 2,0.6020,0.6261,0.2359,0.2255,0.0940
ENSG00000211653.2,IGLV1-40,immunoglobulin lambda variable 1-40,0.8464,0.8706,0.0000,0.0039,0.0107
ENSG00000058668.14,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,0.6960,0.7203,0.0000,0.0043,0.2571
ENSG00000266378.1,,,0.6099,0.6355,0.0112,0.0404,0.2916
ENSG00000275126.1,H4C13,H4 clustered histone 13,0.6169,0.6451,0.0000,0.0209,0.3121
ENSG00000070018.9,LRP6,LDL receptor related protein 6,0.5818,0.6111,0.1441,0.0001,0.3726
ENSG00000004866.20,ST7,suppression of tumorigenicity 7,0.7668,0.7988,0.0000,0.1318,0.0059
ENSG00000072958.8,AP1M1,adaptor related protein complex 1 subunit mu 1,0.7853,0.8178,0.1926,0.0132,0.1127
ENSG00000107021.16,TBC1D13,TBC1 domain family member 13,0.6870,0.7196,0.0070,0.0158,0.2122
ENSG00000143420.18,ENSA,endosulfine alpha,0.6596,0.6934,0.0000,0.1022,0.1909
ENSG00000161558.11,TMEM143,transmembrane protein 143,0.7421,0.7760,0.1321,0.0009,0.1857
ENSG00000182566.13,CLEC4G,C-type lectin domain family 4 member G,0.5707,0.6048,0.0000,0.0471,0.3100
ENSG00000123159.16,GIPC1,GIPC PDZ domain containing family member 1,0.6174,0.6517,0.0115,0.0040,0.3281
ENSG00000255176.1,,,0.6831,0.7187,0.0000,0.0218,0.2169
ENSG00000204991.11,SPIRE2,spire type actin nucleation factor 2,0.6047,0.6404,0.0000,0.0096,0.1574
ENSG00000159884.12,CCDC107,coiled-coil domain containing 107,0.6655,0.7015,0.0000,0.0834,0.2026
ENSG00000164659.15,ELAPOR2,endosome-lysosome associated apoptosis and autophagy regulator family member 2,0.6313,0.6681,0.3277,0.0067,0.3028
ENSG00000197776.8,KLHDC1,kelch domain containing 1,0.6255,0.6633,0.0000,0.0005,0.2845
ENSG00000088179.9,PTPN4,protein tyrosine phosphatase non-receptor type 4,0.6423,0.6804,0.0000,0.0223,0.2850
ENSG00000274021.1,,,0.6282,0.6674,0.2657,0.0349,0.2642
ENSG00000211892.4,IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker),0.7251,0.7660,0.0000,0.0809,0.0343
ENSG00000113580.15,NR3C1,nuclear receptor subfamily 3 group C member 1,0.7146,0.7556,0.0000,0.0298,0.1788
ENSG00000267508.5,ZNF285,zinc finger protein 285,0.7715,0.8125,0.0000,0.0449,0.0243
ENSG00000102547.19,CAB39L,calcium binding protein 39 like,0.8028,0.8445,0.0793,0.0752,0.0011
