"SSU72",409,1218,463,402,274,420,769,58,200,212,564,165,1200,130,238,121,94,67,20,600,1540,228,220,181,1025,380
"AL645728.1",12,83,8,16,12,17,30,1,10,13,26,13,77,3,15,6,3,3,0,28,91,7,6,6,36,20
"FNDC10",6,26,26,4,0,1,44,0,1,5,12,4,7,0,1,0,2,1,0,55,82,0,6,0,4,1
"AL691432.2",18,80,15,21,24,11,47,1,4,11,28,9,48,8,3,2,4,4,0,17,58,14,10,8,20,20
"MIB2",26,318,63,104,79,55,137,8,44,83,59,27,313,41,104,27,8,20,1,36,154,27,18,4,243,85
"MMP23B",5,34,13,68,1,6,18,3,3,43,4,3,114,1,45,5,0,7,0,5,9,2,3,2,34,3
"CDK11B",74,626,183,159,205,452,335,37,157,133,219,95,633,77,120,42,24,49,5,91,566,58,58,84,313,269
"FO704657.1",1,2,2,2,2,2,6,2,1,1,3,0,2,0,3,1,0,0,0,3,6,0,2,2,4,2
"SLC35E2B",49,254,60,132,133,94,231,33,47,53,61,15,230,32,99,23,17,12,0,60,131,28,43,21,256,98
"CDK11A",36,617,171,103,127,290,273,77,116,110,157,32,668,36,120,55,18,25,1,55,305,32,16,29,281,211
"SLC35E2A",20,111,30,65,105,62,154,20,18,21,13,8,88,17,43,17,9,4,0,34,46,13,14,9,113,45
"NADK",416,118,133,83,156,125,233,6,84,22,122,69,81,47,262,17,21,5,13,144,734,325,161,263,158,75
"GNB1",623,992,386,498,691,581,1272,31,519,188,734,318,911,164,543,74,117,59,19,728,2553,405,424,258,649,398
"AL109917.1",0,6,0,0,4,3,7,0,0,1,2,0,1,0,2,0,0,1,0,2,0,0,0,0,7,2
"CALML6",0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,3,1
"TMEM52",2,3,2,2,2,0,9,0,0,1,0,0,7,2,3,0,0,1,0,0,0,0,3,0,139,1
"CFAP74",0,2,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
"GABRD",0,0,0,0,0,0,3,0,15,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"PRKCZ",17,72,3,99,3,2,20,1,14,11,11,6,80,0,5,9,2,4,0,12,42,17,8,11,56,17
"AL590822.2",6,18,0,5,1,1,5,0,2,0,0,0,7,0,1,1,1,1,0,0,24,2,2,2,0,5
"PRKCZ-AS1",2,8,0,1,0,0,9,0,1,4,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0
"FAAP20",239,530,231,327,183,100,448,11,114,101,342,70,487,115,236,68,60,38,7,441,1014,160,147,57,554,204
"SKI",63,477,70,351,30,106,161,5,199,90,132,54,323,93,51,21,40,44,5,62,512,56,41,66,97,103
"MORN1",2,20,22,18,16,26,21,0,3,2,8,2,15,7,10,3,1,2,0,7,9,3,2,1,21,7
"RER1",170,613,475,588,176,927,460,35,187,108,440,136,721,152,291,71,33,43,8,293,1082,112,108,86,1702,181
"PEX10",8,38,51,46,17,38,83,2,24,2,39,15,32,14,12,6,6,2,0,23,64,0,3,1,118,18
"PLCH2",2,39,0,0,8,1,7,1,1,18,0,0,65,0,0,5,0,1,0,1,1,0,1,1,8,11
"PANK4",8,43,37,32,12,72,36,1,7,9,17,9,39,20,11,4,1,1,0,19,52,3,5,1,50,26
"HES5",0,0,29,2,0,31,3,0,9,1,0,0,0,14,0,0,0,0,0,2,0,1,0,1,4,1
"AL139246.5",21,231,12,4,27,5,22,4,11,71,53,10,251,42,13,11,1,17,0,12,91,14,18,7,66,55
"TNFRSF14-AS1",25,77,9,11,7,3,9,2,6,12,17,10,140,3,1,7,9,3,2,13,20,17,27,11,100,17
"TNFRSF14",83,839,61,139,332,49,256,7,123,163,272,162,605,44,104,64,18,37,3,49,492,53,42,57,702,269
"AL139246.3",1,13,0,1,3,0,1,0,1,0,4,6,10,0,1,0,0,0,0,1,5,0,0,1,20,2
"FAM213B",6,65,113,21,8,96,56,0,45,7,14,16,33,15,9,7,2,7,0,19,30,2,3,5,49,6
"MMEL1",12,7,3,0,0,1,8,0,1,0,6,1,0,0,1,1,0,0,0,2,7,4,2,0,2,0
"TTC34",0,12,1,3,2,1,8,0,1,0,1,3,11,2,3,2,1,1,0,0,6,1,0,2,5,9
"LINC00982",0,0,1,5,0,0,11,0,42,1,0,0,0,21,0,2,0,0,0,1,0,0,0,0,2,0
"PRDM16",1,0,0,17,0,1,10,0,51,0,0,0,5,33,0,1,0,0,0,1,0,0,0,0,0,0
"ARHGEF16",0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5,1
"MEGF6",7,67,3,15,4,0,57,1,17,0,3,4,18,0,0,5,7,2,0,53,18,5,4,6,5,22
"AL513320.1",2,0,1,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"TPRG1L",112,167,96,98,42,325,60,100,63,35,39,37,192,38,72,16,3,7,3,57,118,111,56,54,181,72
"WRAP73",83,140,53,42,36,82,94,2,36,31,39,20,147,16,41,20,12,7,2,24,135,37,17,8,143,61
"TP73",1,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,27,0
"SMIM1",18,34,1223,43,16,3497,197,351,2,3,11,12,21,15,4,3,14,1,0,9,20,6,9,11,328,11
"LRRC47",26,128,105,116,44,121,161,5,45,35,47,18,171,33,41,20,4,9,2,96,166,13,27,5,127,35
